nycha_vendor_name,passport_supplier_id,note
UNITED CLAIM SERVICE INC.,1650522,reviewed 2026-07-25: confirmed same vendor
B.C. PAINTING CORP.,1623878,reviewed 2026-07-25: confirmed same vendor
W.W. GRAINGER  INC.,1642506,reviewed 2026-07-25: confirmed same vendor
DRAGONETTI BROTHERS LANDSCAP NURSERY & FLORIST INC.,1625224,reviewed 2026-07-25: confirmed same vendor
"C.D.E. AIR CONDITIONING CO, INC.",1625108,reviewed 2026-07-25: confirmed same vendor
REDLYN ELECTRIC CORP. DBA LOUIS SHIFFMAN ELECTRIC,1646998,reviewed 2026-07-25: confirmed same vendor
"SAMUEL LEVINE PLUMBING & HEATING, SUPPLIES INCORPORATED",1639753,reviewed 2026-07-25: confirmed same vendor
M S J  CONSTRUCTION NY INC,1792999,reviewed 2026-07-25: confirmed same vendor
WATSONS PLUMBING HEATING & BLDG SERVICES INC,1642073,reviewed 2026-07-25: confirmed same vendor
ARK SYSTEMS ELECTRIC CORP.,1621176,reviewed 2026-07-25: confirmed same vendor
"LCD ELEVATOR REPAIR, INC",1822446,reviewed 2026-07-25: confirmed same vendor
MEDRITE MEDICAL CARE PC D/B/A MEDRITE URGENT CARE PC.,1655218,reviewed 2026-07-25: confirmed same vendor
KOHN PEDERSEN FOX ASSOCIATES,1631330,reviewed 2026-07-25: confirmed same vendor
UNIVERSAL TESTING AND INSPECTION SERVICES,1640987,reviewed 2026-07-25: confirmed same vendor
"STANDARD WHOLESALE HARDWARE, INC.",1637524,reviewed 2026-07-25: confirmed same vendor
H J MURRAY & CO INC.,1642983,reviewed 2026-07-25: confirmed same vendor
"COMPLETE PACKAGING AND SHIPPING SUPPLIES, INCORPORATED",1625757,reviewed 2026-07-25: confirmed same vendor
SOBRO-South Bronx Overall Economic Development Corporation,1638611,reviewed 2026-07-25: confirmed same vendor
INTERNATIONAL ASBESTOS TESTING LABORATORIES INC-iATL,1642097,reviewed 2026-07-25: confirmed same vendor
BLUE DIAMOND NY CONSTRUCTION INC.,1657311,reviewed 2026-07-25: confirmed same vendor
"ISMAEL LEYVA ARHICTECTS, P.C.",1630174,reviewed 2026-07-25: confirmed same vendor
FIRST QUALITY MAINTENANCE LTD.,1644511,reviewed 2026-07-25: confirmed same vendor
"W.B. MASON CO., INC.",1623399,reviewed 2026-07-25: confirmed same vendor
MARLEY & DREW HEATING AND PLUMBING LLC,1961034,reviewed 2026-07-25: confirmed same vendor
CHIEF FIRE PREVENTION & MECHANICAL CORP,1624195,reviewed 2026-07-25: confirmed same vendor
MIKE'S PIPE YARD & BUILDING SUPPLY CORP,1941490,reviewed 2026-07-25: confirmed same vendor
"NEW PALACE PAINT SUPPLY CO., INC",1634143,reviewed 2026-07-25: confirmed same vendor
CSA GROUP NY ARCHITECTS & ENGINEERS PC,1642951,reviewed 2026-07-25: confirmed same vendor
"DISTINCT ENGINEERING SOLUTIONS INC., P.C.",1652358,reviewed 2026-07-25: confirmed same vendor
"ATANE ENGINEERS, ARCHITECTS & LAND SURVEYORS, D.P.C.",1626606,reviewed 2026-07-25: confirmed same vendor
CCD COMMUNITY CAPACITY DEVELOPMENT INC,1910295,reviewed 2026-07-25: confirmed same vendor
R.I.M. PLUMBING AND HEATING SUPPLY INC.,1711641,reviewed 2026-07-25: confirmed same vendor
"LIBERTY OFFICE SUPPLIES & EQUIP,",1646555,reviewed 2026-07-25: confirmed same vendor
DOCTOR POWER COOLING AND HEATING INC,1869206,reviewed 2026-07-25: confirmed same vendor
CONTROLLED COMBUSTION CO INC,1871148,reviewed 2026-07-25: confirmed same vendor
"NY PLUMBING WHOLESALE & SUPPLY, INC",1652250,reviewed 2026-07-25: confirmed same vendor
