Title Code,Title Description,Total Positions using this Title,Unique Positions using this Title,Agencies using this Title,In Civil List Active,In Civil List,Full Description,Effective Date,Databook Link
00031,HCPPA,0,0,0,No,No,No,,https://databook.nyc/t/00031
00136,BEAUTICIAN,0,0,0,No,Yes,No,,https://databook.nyc/t/00136
03647,SPECIAL ASSISTANT TO THE BOROU,3,1,1,No,Yes,No,,https://databook.nyc/t/03647
03927,ASSISTANT SYSTEMS ANALYST (HHC,0,0,0,No,No,No,,https://databook.nyc/t/03927
05026,DIRECTOR OF INTERGOVERNMENTAL,0,0,0,No,Yes,No,,https://databook.nyc/t/05026
05041,ASSISTANT COMMISSIONER (DSNY),6,3,1,No,Yes,No,,https://databook.nyc/t/05041
05043,ASSOCIATE COMMISSIONER (DOC),3,1,1,No,Yes,No,,https://databook.nyc/t/05043
05058,FOOD SERVICE MANAGER,9,1,1,No,Yes,No,,https://databook.nyc/t/05058
05072,STUDENT LEGAL SPECIALIST,1,1,1,No,Yes,No,,https://databook.nyc/t/05072
05103,DIRECTOR (PLANT OPERATIONS SER,1,1,1,No,Yes,No,,https://databook.nyc/t/05103
05106,ASSISTANT TO THE PRESIDENT (BR,2,1,1,No,Yes,No,,https://databook.nyc/t/05106
05144,RESEARCH AND LIAISON COORDINAT,0,0,0,No,Yes,No,,https://databook.nyc/t/05144
05145,RESEARCH LIAISON ADN GOVERNMEN,1,1,1,No,Yes,No,,https://databook.nyc/t/05145
05159,ASSISTANT TO THE PRESIDENT(BOR,0,0,0,No,Yes,No,,https://databook.nyc/t/05159
0515A,ASSISTANT TO THE PRESIDENT (PM,4,1,1,No,Yes,No,,https://databook.nyc/t/0515A
05224,DEPUTY OPERATION SUPPORT MANAG,0,0,0,No,Yes,No,,https://databook.nyc/t/05224
05277,RESEARCH PROJECTS COORDINATOR,28,2,1,No,Yes,No,,https://databook.nyc/t/05277
05278,ASSISTANT TO THE DEPUTY MAYOR,2,1,1,No,Yes,No,,https://databook.nyc/t/05278
0527A,RESEARCH PROJECTS COOR(MA)-MGR,296,10,6,No,Yes,No,,https://databook.nyc/t/0527A
05322,SENIOR RACKETS INVESTIGATOR (B,19,1,1,No,Yes,No,,https://databook.nyc/t/05322
05323,SUPERVISING RACKETS INVESTIGAT,4,1,1,No,Yes,No,,https://databook.nyc/t/05323
05329,SPECIAL ASSISTANT TO DA (QUEEN,9,1,1,No,Yes,No,,https://databook.nyc/t/05329
05338,PRINCIPAL ACCOUNTANT INVESTIGA,1,1,1,No,Yes,No,,https://databook.nyc/t/05338
05346,EMPLOYEE HEALTH BENEFITS PROGR,1,1,1,No,Yes,No,,https://databook.nyc/t/05346
05357,DIRECTOR OF BUILDING MANAGEMEN,0,0,0,No,Yes,No,,https://databook.nyc/t/05357
05363,STATISTICAL SECRETARY (OMB),5,1,1,No,Yes,No,,https://databook.nyc/t/05363
05384,SECRETARY (OFFICE OF THE MAYOR,2,1,1,No,Yes,No,,https://databook.nyc/t/05384
05454,ASST DIR OF INTERGVNMENTAL REL,0,0,0,No,Yes,No,,https://databook.nyc/t/05454
05482,SR PROJECT PLANNER (MA),1,1,1,No,Yes,No,,https://databook.nyc/t/05482
05492,"DIR OF ADMINISTRATION, WORKER'",1,1,1,No,Yes,No,,https://databook.nyc/t/05492
05500,CONFIDENTIAL STRATEGY PLANNER,2,1,1,No,Yes,No,,https://databook.nyc/t/05500
05501,CONFIDENTIAL STRATEGY PLANNER,1,1,1,No,Yes,No,,https://databook.nyc/t/05501
05600,CHIEF INFORMATION OFFICER (DVS,0,0,0,No,Yes,No,,https://databook.nyc/t/05600
05608,DEPUTY CHIEF TECHNOLOGY OFFICE,1,1,1,No,Yes,No,,https://databook.nyc/t/05608
05643,AST COMMISSIONER FOR POLICY AN,1,1,1,No,Yes,No,,https://databook.nyc/t/05643
05644,ASSISTANT COMMISSIONER (TLC),0,0,0,No,No,No,,https://databook.nyc/t/05644
06070,RECREATION SPECIALIST (DEPT OF,137,2,1,No,Yes,No,,https://databook.nyc/t/06070
06088,BUDGET ANALYST (OMB),280,1,1,No,Yes,No,,https://databook.nyc/t/06088
0608A,BUDGET ANALYST (OMB)-MANAGERIA,137,1,1,No,Yes,No,,https://databook.nyc/t/0608A
06145,CHAUFFEUR-ATTENDANT (BORO PRES,2,1,1,No,Yes,No,,https://databook.nyc/t/06145
06147,PUBLIC RELATIONS OFFICER (BORO,1,1,1,No,Yes,No,,https://databook.nyc/t/06147
06165,SUPERVISOR OF NURSES (BOARD OF,10,1,1,No,Yes,No,,https://databook.nyc/t/06165
06217,SENIOR OCCUPATIONAL THERAPIST,0,0,0,No,Yes,No,,https://databook.nyc/t/06217
06837,SPECIAL ASSISTANT (CULTURAL AF,0,0,0,No,Yes,No,,https://databook.nyc/t/06837
06240,CASE MANAGEMENT NURSE (DOC),3,2,1,No,Yes,No,,https://databook.nyc/t/06240
06311,DIRECTOR OF AUDITS (OFFICE OF,1,1,1,No,Yes,No,,https://databook.nyc/t/06311
06316,INVESTIGATOR(DISCP)(ONLY FOR P,20,4,3,No,Yes,No,,https://databook.nyc/t/06316
06361,DEPUTY ASSISTANT COUNSEL (OLR),3,1,1,No,Yes,No,,https://databook.nyc/t/06361
06393,STAFF ASSISTANT (OFFICE OF THE,12,1,1,No,Yes,No,,https://databook.nyc/t/06393
06405,MAYORAL OFFICE ASSISTANT,25,2,1,No,Yes,No,,https://databook.nyc/t/06405
06407,EXECUTIVE DIRECTOR OF FOOD SER,0,0,0,No,Yes,No,,https://databook.nyc/t/06407
06423,MAYORAL PROGRAM COORDINATOR (M,40,4,2,No,Yes,No,,https://databook.nyc/t/06423
06429,SECRETARY TO PUBLIC ADMINISTRA,2,1,1,No,Yes,No,,https://databook.nyc/t/06429
06433,DEPUTY COMMISSIONER (CDCSA),2,2,1,No,Yes,No,,https://databook.nyc/t/06433
06449,SECRETARY OF COMMISSIONER (CDC,1,1,1,No,Yes,No,,https://databook.nyc/t/06449
06458,DEPUTY EXECUTIVE DIRECTOR CAMP,9,1,1,No,Yes,No,,https://databook.nyc/t/06458
06462,DEPUTY DIRECTOR OF ADMIN WORKE,2,1,1,No,Yes,No,,https://databook.nyc/t/06462
06470,DIRECTOR OF PUBLIC RELATIONS (,1,1,1,No,Yes,No,,https://databook.nyc/t/06470
06517,SENIOR STUDENT LEGAL SPECIALIS,1,1,1,No,Yes,No,,https://databook.nyc/t/06517
06591,MEDICOLEGAL ANALYST (LAW DEPT),1,1,1,No,Yes,No,,https://databook.nyc/t/06591
06593,FOOD SERVICE ADMINISTRATOR (DC,4,1,1,No,Yes,No,,https://databook.nyc/t/06593
06601,ANALYST CFB AL 1 ONLY,6,1,1,No,Yes,No,,https://databook.nyc/t/06601
06602,SYSTEMS ADMINISTRATOR-CAM FIN,19,1,1,No,Yes,No,,https://databook.nyc/t/06602
06603,ADMIN ASST-CAMPAIGN FIN BOARD,9,1,1,No,Yes,No,,https://databook.nyc/t/06603
06604,ATTORNEY-CAMPAIGN FIN BOARD,1,1,1,No,Yes,No,,https://databook.nyc/t/06604
0660A,ANALYST CFB AL 2&3 ONLY,118,1,1,No,Yes,No,,https://databook.nyc/t/0660A
